F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,Target
0.7357088,0.574636294,0.361495521,0.067998513,0.493280851,0.711417653,0.463362114,0.559272604,0.501478473,0.178084361,0.9931881,0.923728791,0.458544008,0.03754871,0.109160341,0.030973638,0.200377337,0.198487815,0.951616995,0
0.687416705,0.714105559,0.087334239,0.754382711,0.174603551,0.64619938,0.713468226,0.557760274,0.563531171,0.641604351,0.434447199,0.39295016,0.958002655,0.444748351,0.679964575,0.98459436,0.585810785,0.086052296,0.625144232,0.001
0.83715145,0.151206598,0.999579487,0.830147836,0.329824392,0.470388873,0.777117341,0.52030931,0.16607839,0.923522209,0.424326634,0.101171516,0.315127673,0.01692104,0.725203392,0.10843881,0.037422936,0.589691537,0.351318962,0.002
0.180730171,0.634625947,0.676539043,0.078352497,0.924688747,0.10549262,0.918474066,0.522112569,0.264351452,0.808825827,0.355092866,0.889654564,0.817183808,0.370867666,0.702647238,0.476123724,0.621032798,0.222910947,0.479752658,0.003
0.188086033,0.567917124,0.144169125,0.457479926,0.602071406,0.400477413,0.179047323,0.266840229,0.265772233,0.861613893,0.315569682,0.654721542,0.997577028,0.644934488,0.745085835,0.851547697,0.741168901,0.367495892,0.735274889,0.004
0.02688349,0.792565483,0.521427514,0.722676955,0.038798083,0.934099597,0.701891087,0.429371186,0.5709168,0.199891612,0.608719945,0.180888162,0.444188471,0.000441664,0.076047772,0.885406808,0.825411095,0.040366422,0.359249513,0.005
0.783304363,0.059902508,0.36867691,0.675920039,0.475084975,0.149251347,0.137176696,0.969337065,0.757992661,0.725208323,0.290752971,0.237997329,0.472028197,0.176747108,0.797779124,0.035470936,0.142036659,0.183847084,0.700368792,0.006
0.006531092,0.422778109,0.612687323,0.183408269,0.676312824,0.824194094,0.868175421,0.249640633,0.966389677,0.409594763,0.827410671,0.067651831,0.153179547,0.866009164,0.002446684,0.944809674,0.175098423,0.263853348,0.031909936,0.007
0.889561942,0.698977154,0.802597595,0.061705964,0.650713367,0.993151117,0.730222665,0.413961525,0.209504939,0.249499467,0.630319652,0.697155838,0.612693912,0.260888424,0.418436326,0.259996436,0.778342669,0.045687942,0.420450138,0.008
0.849809503,0.267728119,0.58208938,0.872388439,0.324452668,0.817962486,0.391467197,0.725742687,0.249473856,0.362674192,0.566826,0.129505918,0.665798727,0.226381273,0.311534427,0.42603957,0.415026129,0.029637542,0.407207483,0.009
